horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
3,Market-state,0.075,3507,1800,1755,154537,79359,77341,1361,688,2146,1112,0.513259195893927,0.500427715996578,0.513527504739965,0.500469143311958,0.0128314798973481,0.0127900525819687,0.0226935944142827,0.505510653930933,0.518173345759553
3,Market-state,0.1,1598,827,816,154537,79359,77341,576,296,1022,531,0.517521902377973,0.51063829787234,0.513527504739965,0.500469143311958,0.00688360450563208,0.0170527590660148,0.0103405656897701,0.513888888888889,0.519569471624266
3,Market-state,0.15,460,244,242,150766,77425,75448,139,77,321,167,0.530434782608696,0.526086956521739,0.513544167783187,0.500431131687516,0.00434782608695661,0.03000365092118,0.00305108578857302,0.553956834532374,0.520249221183801
3,Full,0,154537,79148,77341,154537,79148,77341,80427,41452,74110,37696,0.512162135928613,0.500469143311958,0.512162135928613,0.500469143311958,0.0116929926166549,0.0116929926166549,1,0.515399057530431,0.508649305087033
3,Full,0.025,35620,18604,17984,154537,79148,77341,18145,9553,17475,9051,0.522290847838293,0.504884896125772,0.512162135928613,0.500469143311958,0.017405951712521,0.0218217045263354,0.230494962371471,0.52648112427666,0.51793991416309
3,Full,0.05,10273,5361,5180,154537,79148,77341,4569,2373,5704,2988,0.521853402122068,0.504234400856614,0.512162135928613,0.500469143311958,0.0176190012654531,0.0213842588101099,0.0664759895688411,0.519369665134603,0.523842917251052
3,Full,0.075,4129,2128,2050,154537,79148,77341,1689,876,2440,1252,0.515379026398644,0.496488253814483,0.512162135928613,0.500469143311958,0.0188907725841608,0.0149098830866861,0.0267185204837676,0.518650088809947,0.513114754098361
3,Full,0.1,1806,930,908,154537,79148,77341,659,337,1147,593,0.514950166112957,0.502768549280177,0.512162135928613,0.500469143311958,0.0121816168327796,0.0144810228009992,0.011686521674421,0.511380880121396,0.517000871839582
3,Full,0.15,522,273,275,150766,77185,75448,152,82,370,191,0.522988505747127,0.526819923371648,0.511952296936975,0.500431131687516,-0.00383141762452111,0.0225573740596107,0.00346231909051112,0.539473684210526,0.516216216216216
3,Calendar-only,0.075,383,207,204,87134,43645,43267,134,74,249,133,0.540469973890339,0.532637075718016,0.500895172952005,0.496557027107673,0.0078328981723238,0.0439129467826662,0.0043955287258705,0.552238805970149,0.534136546184739
5,Calendar-only,0,155396,78025,78640,155396,78025,78640,87708,44621,67688,33404,0.502104301269016,0.506061932096064,0.502104301269016,0.506061932096064,-0.00395763082704825,-0.00395763082704825,1,0.508744926346513,0.493499586337312
5,Calendar-only,0.025,42349,21363,21428,155396,78025,78640,25306,12940,17043,8423,0.504451108644832,0.505985973694774,0.502104301269016,0.506061932096064,-0.00153486504994216,-0.00161082345123198,0.272523102267755,0.511341183908955,0.49422050108549
5,Calendar-only,0.05,4161,2142,2117,155396,78025,78640,2589,1346,1572,796,0.514780100937275,0.508771929824562,0.502104301269016,0.506061932096064,0.00600817111271323,0.00871816884121046,0.026776751010322,0.519891850135187,0.506361323155216
5,Market-state,0,155396,79870,78640,155396,79870,78640,106595,54987,48801,24883,0.513977193750161,0.506061932096064,0.513977193750161,0.506061932096064,0.00791526165409673,0.00791526165409673,1,0.515849711524931,0.509887092477613
5,Market-state,0.025,16375,8526,8314,155396,79870,78640,8454,4449,7921,4077,0.520671755725191,0.507725190839695,0.513977193750161,0.506061932096064,0.0129465648854962,0.0146098236291267,0.105375942752709,0.526259758694109,0.514707738921853
